 frame 	 train 	 tail 	 loops 
  514  	  183  	  0   	   0   
  515  	  183  	  0   	   0   
  516  	  183  	  0   	   0   
  517  	  183  	  0   	   0   
  518  	  183  	  0   	   0   
  519  	  183  	  0   	   0   
  520  	  183  	  0   	   0   
  521  	  183  	  0   	   0   
  522  	  183  	  0   	   0   
  523  	  183  	  0   	   0   
  524  	  182  	  0   	   1   
  525  	  183  	  0   	   0   
  526  	  183  	  0   	   0   
  527  	  183  	  0   	   0   
  528  	  179  	  2   	   2   
  529  	  183  	  0   	   0   
  530  	  179  	  1   	   3   
  531  	  180  	  0   	   3   
  532  	  183  	  0   	   0   
  533  	  182  	  0   	   1   
  534  	  183  	  0   	   0   
  535  	  183  	  0   	   0   
  536  	  182  	  0   	   1   
  537  	  182  	  0   	   1   
  538  	  183  	  0   	   0   
  539  	  183  	  0   	   0   
  540  	  183  	  0   	   0   
  541  	  183  	  0   	   0   
  542  	  183  	  0   	   0   
  543  	  182  	  0   	   1   
  544  	  179  	  0   	   4   
  545  	  180  	  0   	   3   
  546  	  176  	  0   	   7   
  547  	  181  	  1   	   1   
  548  	  181  	  0   	   2   
  549  	  181  	  0   	   2   
  550  	  183  	  0   	   0   
  551  	  182  	  1   	   0   
  552  	  183  	  0   	   0   
  553  	  183  	  0   	   0   
  554  	  183  	  0   	   0   
  555  	  183  	  0   	   0   
  556  	  182  	  0   	   1   
  557  	  183  	  0   	   0   
  558  	  183  	  0   	   0   
  559  	  183  	  0   	   0   
  560  	  183  	  0   	   0   
  561  	  177  	  2   	   4   
  562  	  181  	  1   	   1   
  563  	  183  	  0   	   0   
  564  	  183  	  0   	   0   
  565  	  183  	  0   	   0   
  566  	  183  	  0   	   0   
  567  	  181  	  0   	   2   
  568  	  183  	  0   	   0   
  569  	  182  	  0   	   1   
  570  	  181  	  0   	   2   
  571  	  183  	  0   	   0   
  572  	  176  	  0   	   7   
  573  	  181  	  0   	   2   
  574  	  181  	  0   	   2   
  575  	  182  	  0   	   1   
  576  	  181  	  0   	   2   
  577  	  182  	  0   	   1   
  578  	  183  	  0   	   0   
  579  	  183  	  0   	   0   
  580  	  183  	  0   	   0   
  581  	  181  	  0   	   2   
  582  	  181  	  0   	   2   
  583  	  179  	  0   	   4   
  584  	  179  	  0   	   4   
  585  	  180  	  2   	   1   
  586  	  181  	  0   	   2   
  587  	  180  	  0   	   3   
  588  	  183  	  0   	   0   
  589  	  181  	  1   	   1   
  590  	  183  	  0   	   0   
  591  	  167  	  6   	  10   
  592  	  181  	  1   	   1   
  593  	  169  	  0   	  14   
  594  	  168  	  1   	  14   
  595  	  166  	  0   	  17   
  596  	  181  	  0   	   2   
  597  	  182  	  0   	   1   
  598  	  182  	  0   	   1   
  599  	  182  	  0   	   1   
  600  	  182  	  0   	   1   
  601  	  183  	  0   	   0   
  602  	  181  	  0   	   2   
  603  	  182  	  0   	   1   
  604  	  182  	  0   	   1   
  605  	  181  	  0   	   2   
  606  	  182  	  0   	   1   
  607  	  183  	  0   	   0   
  608  	  182  	  0   	   1   
  609  	  182  	  0   	   1   
  610  	  179  	  1   	   3   
  611  	  175  	  0   	   8   
  612  	  180  	  0   	   3   
  613  	  181  	  0   	   2   
  614  	  182  	  1   	   0   
  615  	  180  	  1   	   2   
  616  	  182  	  0   	   1   
  617  	  181  	  0   	   2   
  618  	  174  	  0   	   9   
  619  	  178  	  0   	   5   
  620  	  180  	  0   	   3   
  621  	  183  	  0   	   0   
  622  	  183  	  0   	   0   
  623  	  182  	  0   	   1   
  624  	  183  	  0   	   0   
  625  	  183  	  0   	   0   
  626  	  183  	  0   	   0   
  627  	  180  	  0   	   3   
  628  	  181  	  0   	   2   
  629  	  183  	  0   	   0   
  630  	  183  	  0   	   0   
  631  	  183  	  0   	   0   
  632  	  182  	  0   	   1   
  633  	  183  	  0   	   0   
